Text ID,model_label,ground_truth_label,Error Flag,full_response
ms-test-2,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-4,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-5,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-6,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-7,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-8,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-9,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-10,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-11,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-12,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-13,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-14,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-15,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-16,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-17,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-18,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-19,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-20,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-21,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-22,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-23,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-24,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-25,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-26,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-27,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-28,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-29,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-30,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-31,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
